user_id,total_events
2150,46
1065,45
3650,45
2355,44
9558,44
7849,44
4721,44
167,43
2953,43
7618,43
897,43
6318,42
3501,42
9472,42
3531,42
759,42
5331,41
4113,41
1911,41
7988,41
4256,41
9383,41
5134,40
4462,40
6918,40
1304,40
6148,40
5534,40
5312,40
687,40
3746,40
3642,40
4805,40
328,40
5998,40
9530,40
5182,39
1063,39
1089,39
1096,39
2649,39
7530,39
7936,39
1248,39
958,39
554,39
4570,39
5079,39
6916,39
2308,39
6847,39
5392,39
9897,39
8053,39
1455,39
5234,39
6602,38
5225,38
190,38
3551,38
6506,38
5567,38
7705,38
8535,38
4268,38
4897,38
5799,38
1623,38
8437,38
5257,38
5508,38
3413,38
7187,38
805,38
6686,38
4632,38
7762,38
6928,38
8939,38
9145,38
6667,38
3350,38
8948,38
2914,38
964,38
3815,38
8361,38
3584,38
1493,38
6936,38
3648,37
1434,37
2555,37
5750,37
3275,37
1872,37
5319,37
9533,37
1730,37
7598,37
8402,37
3982,37
4219,37
7307,37
2088,37
9722,37
137,37
3555,37
6127,37
3615,37
5150,37
1044,37
1726,37
8426,37
9854,37
8872,37
6363,37
2055,37
8288,37
2414,37
9694,37
220,37
172,37
4412,37
7959,37
6526,37
1474,37
7974,37
722,37
938,37
2601,37
479,37
161,37
2143,37
2568,36
7700,36
8513,36
7918,36
5059,36
9049,36
7025,36
2219,36
7447,36
6195,36
4765,36
9274,36
8336,36
1379,36
2564,36
8453,36
128,36
8756,36
3602,36
6419,36
9022,36
3021,36
7101,36
1663,36
2297,36
6194,36
4349,36
6079,36
9014,36
4361,36
7251,36
3489,36
5599,36
2407,36
2744,36
9761,36
1249,36
3076,36
227,36
8866,36
1270,36
9917,36
6543,36
7163,36
6694,36
5929,36
3099,36
6009,36
4605,36
2401,36
5177,36
6521,36
1103,36
9332,36
5479,36
1744,36
9749,36
7284,36
7244,36
3208,36
8208,36
5468,36
7774,36
9620,36
1112,36
3219,36
5236,36
3196,36
287,36
9347,36
5278,36
5288,36
682,36
5456,36
6613,36
4825,36
4101,36
6200,36
7991,36
7410,36
1878,36
3717,36
5709,36
8100,36
5724,35
7969,35
3774,35
3623,35
569,35
534,35
5053,35
9276,35
6325,35
2648,35
8046,35
1174,35
9607,35
6672,35
315,35
9163,35
9156,35
4692,35
6234,35
5640,35
649,35
688,35
8034,35
5327,35
8266,35
5329,35
5355,35
826,35
4853,35
4949,35
580,35
2167,35
7045,35
2160,35
7054,35
2944,35
486,35
8184,35
8656,35
6659,35
4056,35
3304,35
5401,35
8664,35
4867,35
8410,35
5616,35
3562,35
3561,35
4649,35
7273,35
9096,35
6413,35
6712,35
8679,35
4806,35
9626,35
